timestamp,size,proto,sport,dport,ttl
1765273305.1991076,1066,TCP,443,28944,115
1765273305.2003334,60,TCP,443,28944,115
1765273305.2016506,85,TCP,28944,443,64
1765273305.2026901,60,TCP,443,28944,115
1765273305.2037556,85,TCP,443,28944,115
1765273305.2416513,54,TCP,28944,443,64
1765273305.2431974,66,TCP,1402,443,64
1765273305.271433,60,TCP,443,28944,115
1765273305.3980267,1016,TCP,443,20210,116
1765273305.399728,272,TCP,443,20210,116
1765273305.400961,85,TCP,443,20210,116
1765273305.4020743,54,TCP,20210,443,64
1765273305.4032164,93,TCP,443,20210,116
1765273305.4040782,54,TCP,20210,443,64
1765273305.405071,89,TCP,20210,443,64
1765273305.4058762,93,TCP,20210,443,64
1765273305.4067776,1466,TCP,24765,443,64
1765273305.407727,1172,TCP,24765,443,64
1765273305.4085574,93,TCP,24765,443,64
1765273305.4093983,367,TCP,24765,443,64
1765273305.4318068,60,TCP,443,20210,116
1765273305.457904,60,TCP,443,24765,116
1765273305.4596605,60,TCP,443,24765,116
1765273305.4605765,60,TCP,443,24765,116
1765273305.4615324,60,TCP,443,24765,116
1765273305.4624734,93,TCP,443,24765,116
1765273305.5045457,54,TCP,24765,443,64
1765273305.6675072,86,UDP,5353,5353,1
1765273305.6695693,346,UDP,5353,5353,1
1765273305.7220328,59,TCP,18099,443,64
1765273305.7236853,385,TCP,18099,443,64
1765273305.7247076,71,TCP,18099,443,64
1765273305.7657042,60,TCP,443,18099,49
1765273305.7672603,60,TCP,443,18099,49
1765273305.7683105,60,TCP,443,18099,49
1765273305.7834322,557,TCP,443,24765,116
1765273305.7851868,85,TCP,443,24765,116
1765273305.7865572,93,TCP,443,24765,116
1765273305.7875748,54,TCP,24765,443,64
1765273305.788514,93,TCP,24765,443,64
1765273305.8465793,60,TCP,443,24765,116
1765273305.9606152,1466,TCP,20210,443,64
1765273305.962323,1466,TCP,20210,443,64
1765273305.9633849,211,TCP,20210,443,64
1765273305.9928472,60,TCP,443,20210,116
1765273306.128227,934,TCP,443,28944,115
1765273306.12967,419,TCP,443,28944,115
1765273306.1309452,85,TCP,443,28944,115
1765273306.1323617,54,TCP,28944,443,64
1765273306.1338596,93,TCP,443,28944,115
1765273306.1352253,54,TCP,28944,443,64
1765273306.1362042,59,TCP,18099,443,64
1765273306.1369925,385,TCP,18099,443,64
1765273306.1378877,71,TCP,18099,443,64
1765273306.139244,93,TCP,28944,443,64
1765273306.1757596,60,TCP,443,18099,49
1765273306.1770413,60,TCP,443,18099,49
1765273306.1779897,60,TCP,443,18099,49
1765273306.1963427,60,TCP,443,28944,115
1765273306.4257834,1010,TCP,443,20210,116
1765273306.4273753,425,TCP,443,20210,116
1765273306.4284587,54,TCP,20210,443,64
1765273306.4299304,85,TCP,443,20210,116
1765273306.431487,93,TCP,443,20210,116
1765273306.4326077,54,TCP,20210,443,64
1765273306.4338446,93,TCP,20210,443,64
1765273306.4349053,1466,TCP,24765,443,64
1765273306.43585,1169,TCP,24765,443,64
1765273306.436765,367,TCP,24765,443,64
1765273306.4636118,60,TCP,443,20210,116
1765273306.488155,60,TCP,443,24765,116
1765273306.4894338,60,TCP,443,24765,116
1765273306.4902966,60,TCP,443,24765,116
1765273306.6763988,86,UDP,5353,5353,1
1765273306.6786046,346,UDP,5353,5353,1
1765273306.7231998,59,TCP,18099,443,64
1765273306.7243946,385,TCP,18099,443,64
1765273306.7252684,71,TCP,18099,443,64
1765273306.7712584,60,TCP,443,18099,49
1765273306.7726464,60,TCP,443,18099,49
1765273306.7735865,60,TCP,443,18099,49
1765273306.8229885,72,IP,0,0,1
1765273306.9846387,556,TCP,443,24765,116
1765273306.986567,85,TCP,443,24765,116
1765273306.9876769,54,TCP,24765,443,64
1765273306.9887123,93,TCP,443,24765,116
1765273306.9896958,93,TCP,24765,443,64
1765273307.0416071,60,TCP,443,24765,116
1765273307.1418478,59,TCP,18099,443,64
1765273307.143232,385,TCP,18099,443,64
1765273307.1441333,71,TCP,18099,443,64
1765273307.183971,60,TCP,443,18099,49
1765273307.1853788,60,TCP,443,18099,49
1765273307.1864026,60,TCP,443,18099,49
1765273307.7043874,83,UDP,5353,5353,1
1765273307.7064085,337,UDP,5353,5353,1
1765273307.7364175,59,TCP,18099,443,64
1765273307.7377312,385,TCP,18099,443,64
1765273307.7386255,71,TCP,18099,443,64
1765273307.7840576,60,TCP,443,18099,49
1765273307.7853498,60,TCP,443,18099,49
1765273307.7862031,60,TCP,443,18099,49
1765273307.8450098,78,TCP,443,29537,54
1765273307.8466291,82,TCP,29537,443,64
1765273307.8666904,60,TCP,443,29537,54
1765273307.9629712,1490,TCP,53764,443,64
1765273307.9644644,1490,TCP,53764,443,64
1765273307.965782,1490,TCP,53764,443,64
1765273307.9669151,1490,TCP,53764,443,64
1765273307.967918,1031,TCP,53764,443,64
1765273307.9687383,93,TCP,53764,443,64
1765273307.9694648,416,TCP,53764,443,64
1765273308.0096097,60,TCP,443,53764,118
1765273308.0111196,60,TCP,443,53764,118
1765273308.0120955,60,TCP,443,53764,118
1765273308.012865,60,TCP,443,53764,118
1765273308.0139093,60,TCP,443,53764,118
1765273308.015085,60,TCP,443,53764,118
1765273308.0161023,93,TCP,443,53764,118
1765273308.064076,54,TCP,53764,443,64
1765273308.143882,59,TCP,18099,443,64
1765273308.1453133,385,TCP,18099,443,64
1765273308.1464505,71,TCP,18099,443,64
1765273308.186786,60,TCP,443,18099,49
1765273308.1883857,60,TCP,443,18099,49
1765273308.189499,60,TCP,443,18099,49
1765273308.274788,1490,TCP,443,53764,118
1765273308.2769356,1294,TCP,443,53764,118
1765273308.2784274,85,TCP,443,53764,118
1765273308.2796597,54,TCP,53764,443,64
1765273308.280513,89,TCP,53764,443,64
1765273308.3209627,60,TCP,443,53764,118
1765273308.6899884,86,UDP,5353,5353,1
1765273308.6920376,346,UDP,5353,5353,1
1765273308.7369378,59,TCP,18099,443,64
1765273308.7381656,385,TCP,18099,443,64
1765273308.7391274,71,TCP,18099,443,64
1765273308.7806318,60,TCP,443,18099,49
1765273308.7820964,60,TCP,443,18099,49
1765273308.7829733,60,TCP,443,18099,49
1765273308.872959,78,TCP,443,1270,52
1765273308.8746161,82,TCP,1270,443,64
1765273308.9164224,60,TCP,443,1270,52
1765273308.986977,66,TCP,57009,443,64
1765273309.1580951,59,TCP,18099,443,64
1765273309.1595147,385,TCP,18099,443,64
1765273309.1606462,71,TCP,18099,443,64
1765273309.2018952,60,TCP,443,18099,49
1765273309.2036083,60,TCP,443,18099,49
1765273309.20459,60,TCP,443,18099,49
1765273309.250883,66,TCP,1402,443,64
1765273309.2911246,93,TCP,443,53764,118
1765273309.2974072,89,TCP,53764,443,64
1765273309.3424828,60,TCP,443,53764,118
1765273309.747587,59,TCP,18099,443,64
1765273309.749041,385,TCP,18099,443,64
1765273309.7506037,71,TCP,18099,443,64
1765273309.7885606,60,TCP,443,18099,49
1765273309.7900362,60,TCP,443,18099,49
1765273309.7911394,60,TCP,443,18099,49
1765273309.921796,311,TCP,6849,443,64
1765273309.9231906,1311,TCP,6849,443,64
1765273309.9242675,85,TCP,6849,443,64
